,date,open,high,low,close,volume
1268,2017-02-23,1312000.0,1368500.0,1312000.0,1352000.0,2765.4724595500006
1269,2017-02-24,1352000.0,1448500.0,1321000.0,1401500.0,6389.624896480024
1270,2017-02-25,1397500.0,1408000.0,1365000.0,1375000.0,1586.9650603199996
1271,2017-02-26,1374500.0,1379500.0,1333000.0,1375000.0,2347.4203313600015
1272,2017-02-27,1375000.0,1397500.0,1373000.0,1386500.0,1847.3695227999988
1273,2017-02-28,1386500.0,1400000.0,1382000.0,1394000.0,2455.8627062299965
1274,2017-03-01,1394000.0,1420000.0,1393500.0,1418500.0,1698.0020444199997
1275,2017-03-02,1418500.0,1465500.0,1418500.0,1459000.0,3412.180920290018
1276,2017-03-03,1457000.0,1555000.0,1457000.0,1537500.0,5059.147734260042
1277,2017-03-04,1537500.0,1549500.0,1515000.0,1532500.0,1786.8705625099947
1278,2017-03-05,1532500.0,1544000.0,1480000.0,1517000.0,2764.4088912099965
1279,2017-03-06,1517000.0,1534500.0,1515500.0,1518000.0,1406.3931381299983
1280,2017-03-07,1518000.0,1525500.0,1410000.0,1470000.0,3366.2743344200117
1281,2017-03-08,1470000.0,1496500.0,1388000.0,1419000.0,4153.735126830015
1282,2017-03-09,1418500.0,1428000.0,1370000.0,1406000.0,2838.9109469000086
1283,2017-03-10,1406000.0,1508000.0,1404000.0,1471500.0,3600.9543038300094
1284,2017-03-11,1471500.0,1485000.0,1323000.0,1427000.0,6851.362545110012
1285,2017-03-12,1422500.0,1455000.0,1416000.0,1446000.0,1914.4277974499983
1286,2017-03-13,1446500.0,1500000.0,1436500.0,1482000.0,3964.94131888003
1287,2017-03-14,1481500.0,1510000.0,1472000.0,1500500.0,2823.411770520008
1288,2017-03-15,1503000.0,1521500.0,1496000.0,1500500.0,2858.9776718000053
1289,2017-03-16,1501000.0,1531000.0,1490000.0,1511000.0,6811.118401910059
1290,2017-03-17,1511000.0,1716000.0,1450000.0,1490000.0,10201.18428698008
1291,2017-03-18,1490500.0,1668500.0,1392000.0,1397000.0,5338.635454840019
1292,2017-03-19,1397500.0,1400000.0,1178500.0,1260000.0,6559.731484190013
1293,2017-03-20,1264000.0,1400000.0,1252000.0,1308500.0,5038.523946589991
1294,2017-03-21,1308500.0,1363000.0,1301000.0,1334000.0,3759.086552450012
1295,2017-03-22,1334500.0,1368500.0,1261000.0,1271000.0,6368.548853380079
1296,2017-03-23,1270500.0,1295000.0,1250000.0,1257500.0,4317.362073750035
1297,2017-03-24,1258000.0,1264500.0,1116000.0,1168000.0,5968.7942783100225
1298,2017-03-25,1168000.0,1177000.0,1040000.0,1120000.0,6954.1960365100185
1299,2017-03-26,1120000.0,1212000.0,1076500.0,1190000.0,6111.047724270043
1300,2017-03-27,1190000.0,1247000.0,1152000.0,1210500.0,5520.170591480011
1301,2017-03-28,1209500.0,1266500.0,1201000.0,1250000.0,4598.667013870023
1302,2017-03-29,1249000.0,1256500.0,1171000.0,1222000.0,6185.674788420024
1303,2017-03-30,1216000.0,1227000.0,1191500.0,1205000.0,4076.114058820016
1304,2017-03-31,1202500.0,1249000.0,1195500.0,1239000.0,6842.967236690059
1305,2017-04-01,1239500.0,1297000.0,1237000.0,1276000.0,5837.889891190044
1306,2017-04-02,1276000.0,1284000.0,1167500.0,1269500.0,5277.891853450022
1307,2017-04-03,1271000.0,1350000.0,1269500.0,1328500.0,10587.92125554004
1308,2017-04-04,1328500.0,1383000.0,1310000.0,1317000.0,7560.325703460045
1309,2017-04-05,1316500.0,1356000.0,1310000.0,1316000.0,5114.634196570042
1310,2017-04-06,1321000.0,1359500.0,1309000.0,1350500.0,5827.428384390039
1311,2017-04-07,1349000.0,1400000.0,1345000.0,1388500.0,5199.003921789991
1312,2017-04-08,1387500.0,1415000.0,1375000.0,1381500.0,3823.431923810009
1313,2017-04-09,1381500.0,1384500.0,1362500.0,1384000.0,2107.090759229993
1314,2017-04-10,1384000.0,1410000.0,1384000.0,1408500.0,3517.760036480007
1315,2017-04-11,1407500.0,1411000.0,1390000.0,1411000.0,3066.9643508699987
1316,2017-04-12,1411000.0,1424500.0,1410500.0,1418500.0,3633.8835455500093
1317,2017-04-13,1418000.0,1418500.0,1345500.0,1356500.0,5672.314040670052
1318,2017-04-14,1356500.0,1396500.0,1340500.0,1394500.0,3623.439846580015
1319,2017-04-15,1391500.0,1398000.0,1380000.0,1390500.0,2221.22633958
1320,2017-04-16,1390500.0,1396000.0,1366000.0,1376500.0,1967.8308343699987
1321,2017-04-17,1376500.0,1394000.0,1375500.0,1388000.0,2612.45265286
1322,2017-04-18,1388000.0,1418500.0,1387000.0,1402500.0,3993.6592523700033
1323,2017-04-19,1404500.0,1413500.0,1400000.0,1407500.0,2528.4070020999998
1324,2017-04-20,1406000.0,1437500.0,1402000.0,1437000.0,3785.312847360005
1325,2017-04-21,1437500.0,1469000.0,1436000.0,1450000.0,3847.4837487400077
1326,2017-04-22,1449500.0,1458500.0,1425000.0,1440000.0,2021.6757709899991
1327,2017-04-23,1440000.0,1459000.0,1439500.0,1451500.0,2262.278795170001
1328,2017-04-24,1451500.0,1456500.0,1443000.0,1448500.0,2390.129463799998
